make,model,version,months_old,power,sale_type,gear_type,fuel_type,kms,price,is_prediction,rep_id
Mercedes-Benz,C220,Cabrio D 4 Matic 9G-Tronic,13.0,125.0,used,Unknown,diesel,12000.0,49990,0,1
Bmw,X4,Xdrive20D,9.0,140.0,demo,automatic,diesel,10580.0,49990,0,1
Audi,Q5,S Line 2.0 Tdi 120Kw Quattro S Tronic,2.0,120.0,demo,automatic,diesel,3800.0,49990,0,1
Bmw,520,520Da Touring,6.0,141.0,demo,automatic,diesel,190.0,49990,0,1
Toyota,LandCruiser,D-4D Vxl Aut.,6.0,130.0,used,Unknown,diesel,5.0,49990,0,1
Bmw,520,"Daut. Xdrive, Paquete M, C�mara, Techo, Wi-Fi, Nav",7.0,140.0,used,automatic,diesel,4525.0,49980,0,1
Bmw,X4,Xdrive20D,2.0,140.0,used,automatic,diesel,15.0,49962,0,1
Bmw,X4,Xdrive20D,2.0,140.0,used,automatic,diesel,15.0,49956,0,1
Bmw,X4,Xdrive20D,2.0,140.0,used,automatic,diesel,15.0,49956,0,1
Porsche,Panamera,Turbo Aut.,100.0,368.0,used,automatic,gasoline,175000.0,49900,0,1
Land,RoverRangeRoverSport,3.0Sdv6 Hse Dynamic Aut.,50.0,215.0,used,automatic,diesel,125000.0,49900,0,1
Land,RoverRangeRoverSport,3.0Tdv6 Se Aut.,54.0,190.0,used,automatic,diesel,121936.0,49900,0,1
Land,RoverRangeRoverSport,3.0Sdv6 Hse Dynamic Aut.,40.0,215.0,used,automatic,diesel,120000.0,49900,0,1
Mercedes-Benz,Cls350,Cls 350 Bluetec -Amg Completo,27.0,185.0,used,automatic,diesel,105450.0,49900,0,1
Audi,A6,Avant 3.0Bitdi Quattro Tiptronic 313,69.0,230.0,used,automatic,diesel,96000.0,49900,0,1
Land,RoverRangeRoverSport,3.0Sdv6 Dynamic,50.0,215.0,used,automatic,diesel,95000.0,49900,0,1
Audi,Q7,6.0Tdi Tiptronic,91.0,368.0,used,automatic,diesel,93000.0,49900,0,1
Porsche,Cayenne,Turbo 4.8 V8 368Kw (500Cv),86.0,368.0,used,automatic,gasoline,89900.0,49900,0,1
Bmw,730,Serie 7 F01/F02 Diesel Xdrive,35.0,190.0,used,automatic,diesel,89000.0,49900,0,1
Audi,A7,Sportback 3.0Bitdi S Line Q.Ed. Tip. S Line Editio,50.0,230.0,used,automatic,diesel,88000.0,49900,0,1
Audi,Q7,3.0Tdi Ambiente 204 Tiptronic,29.0,150.0,used,automatic,diesel,80245.0,49900,0,1
Land,RoverRangeRoverSport,3.0 Sdv6 292Cv Hse 7Plazas,50.0,215.0,used,automatic,diesel,79120.0,49900,0,1
Porsche,911,Carrera 4S Coupe,140.0,261.0,used,automatic,gasoline,79000.0,49900,0,1
Porsche,Cayenne,Diesel,74.0,176.0,used,automatic,diesel,79000.0,49900,0,1
Porsche,Cayenne,Diesel 245 Aut.,74.0,180.0,used,automatic,diesel,79000.0,49900,0,1
Porsche,Cayenne,Diesel 245,62.0,180.0,used,automatic,diesel,78000.0,49900,0,1
Bmw,X5,Xdrive30D,40.0,190.0,used,automatic,diesel,73870.0,49900,0,1
Porsche,911,*Tiptronic S *Perfecto Estado *Led *Bose Nuevo!!!,158.0,239.0,used,automatic,gasoline,72400.0,49900,0,1
Bmw,X5,Xdrive30D,34.0,190.0,used,automatic,diesel,71553.0,49900,0,1
Porsche,Cayenne,"*Gestionamos La Venta De Su Coche Usado, Consulte*",74.0,180.0,used,automatic,diesel,69900.0,49900,0,1
Bmw,X4,Xdrive 30Da,33.0,190.0,used,automatic,diesel,69600.0,49900,0,1
Mercedes-Benz,Ml350,Bluetec 4M 7G Plus,40.0,190.0,used,automatic,diesel,69500.0,49900,0,1
Bentley,Continental,Gt Aut.,152.0,411.0,used,automatic,gasoline,69000.0,49900,0,1
Audi,A8,L 3.0 Tdi Clean Diesel Quattro,31.0,193.0,used,automatic,diesel,68000.0,49900,0,1
Land,RoverRangeRoverSport,3.0Sdv6 Hse Dynamic Aut.,44.0,215.0,used,automatic,diesel,67581.0,49900,0,1
Porsche,911,Carrera 4S Coup�,141.0,261.0,used,automatic,gasoline,67000.0,49900,0,1
Bmw,X5,Xdrive 30Da,30.0,190.0,used,automatic,diesel,65808.0,49900,0,1
Porsche,Boxster,Pdk,57.0,195.0,used,automatic,gasoline,63900.0,49900,0,1
Porsche,911,Carrera 4S Coup�,111.0,261.0,used,manual,gasoline,62156.0,49900,0,1
Audi,Q7,6.0Tdi Tiptronic,61.0,368.0,used,automatic,diesel,60000.0,49900,0,1
Land,RoverRangeRoverSport,3.0Tdv6 Hse Aut.,48.0,190.0,used,automatic,diesel,59000.0,49900,0,1
Audi,A8,3.0 Tdi Cd Quattro Tiptronic 1,48.0,190.0,used,automatic,diesel,56500.0,49900,0,1
Porsche,Boxster,Pdk,66.0,195.0,used,automatic,gasoline,55000.0,49900,0,1
Volvo,Xc90,Di�sel D5 Momentum Awd 225 Aut.,32.0,165.0,used,automatic,diesel,53146.0,49900,0,1
Porsche,Cayenne,Diesel 245,53.0,180.0,used,automatic,diesel,53000.0,49900,0,1
Mercedes-Benz,Ml350,Bluetec 4M 7G Plus,46.0,190.0,used,automatic,diesel,52000.0,49900,0,1
Porsche,Boxster,Pdk//Nacional//Approved//Certificado//,65.0,195.0,used,automatic,gasoline,49900.0,49900,0,1
Mercedes-Benz,V220,V 220 Cdi Largo Avantgarde,25.0,120.0,used,automatic,diesel,45000.0,49900,0,1
Bmw,X5,Xdrive 30Da - Techo - Nacional - C�mara - Ll19,27.0,190.0,used,automatic,diesel,42500.0,49900,0,1
Bmw,730,Serie 7 F01/F02 Diesel Xdrive,41.0,190.0,used,automatic,diesel,39006.0,49900,0,1
Bmw,X5,Xdrive30D,36.0,190.0,used,automatic,diesel,38000.0,49900,0,1
Bmw,X5,Xdrive30D Pvp Oferta Sujeto A Financiaci�n.,33.0,189.0,used,automatic,diesel,37000.0,49900,0,1
Jeep,Wrangler,"*Gestionamos La Venta De Su Coche Usado, Consultar",110.0,130.0,used,automatic,diesel,35400.0,49900,0,1
Toyota,LandCruiser,D-4D Vxl Aut.,24.0,140.0,used,automatic,diesel,33000.0,49900,0,1
Bmw,X5,Xdrive 35Ia Pack M,38.0,225.0,used,automatic,gasoline,25400.0,49900,0,1
Bmw,X5,Xdrive 50I Paq M Full Stock Ngp,38.0,330.0,used,automatic,gasoline,25000.0,49900,0,1
Ford,Mustang,Shelby Gt500 Reservado!!,65.0,405.0,used,manual,gasoline,25000.0,49900,0,1
Volkswagen,Touareg,3.0Tdi V6 Bmt Premium 262 Tiptronic 8 V Suspesion,24.0,193.0,used,automatic,diesel,24500.0,49900,0,1
Bmw,X4,Xdrive 30Da,18.0,190.0,used,automatic,diesel,17200.0,49900,0,1
Bmw,X5,Xdrive30D,15.0,190.0,used,automatic,diesel,17109.0,49900,0,1
Mercedes-Benz,C220,D Cabrio Amg 9G-Tronic *Led*,18.0,125.0,used,automatic,diesel,16448.0,49900,0,1
Volkswagen,Touareg,R-Line 3.0 Tdi 262Cv Tiptronic Bmt,17.0,193.0,used,Unknown,diesel,16200.0,49900,0,1
Mercedes-Benz,Cls350,D Sb Amg--Camara 360--Distronic--Techo-�Brutal!,13.0,190.0,used,automatic,diesel,15900.0,49900,0,1
Bmw,730,"Serie 7 G11/G12 Diesel (0.0),Navi,Cuerro,Faros De",20.0,195.0,used,automatic,diesel,15400.0,49900,0,1
Bmw,520,D Berlina,13.0,140.0,used,automatic,diesel,14916.0,49900,0,1
Mercedes-Benz,E350,D 190 Kw (258 Cv),12.0,190.0,used,automatic,diesel,14350.0,49900,0,1
Mercedes-Benz,C220,Coupe D Paquete Amg*** Techo Panoramico.,25.0,125.0,used,Unknown,diesel,14000.0,49900,0,1
Bmw,X4,Xdrive20D,8.0,140.0,demo,automatic,diesel,12696.0,49900,0,1
Mercedes-Benz,Cls350,Shooting Brake 350D Aut. Amg A Tope De Extras!!,13.0,190.0,used,automatic,diesel,11729.0,49900,0,1
Audi,A7,Sportback 3.0 Tdi Quattro S Tronic 200 K,12.0,200.0,used,automatic,diesel,11246.0,49900,0,1
Audi,A6,Avant 2.0Tdi Ultra Black Line Ed. Q. S-T 190 Black,14.0,140.0,used,automatic,diesel,11000.0,49900,0,1
Mercedes-Benz,Cls350,D Amg Int + Ext Y A Disfrutarlo!!!!!!,12.0,190.0,used,automatic,diesel,11000.0,49900,0,1
Mercedes-Benz,Cls350,D Sb Amg-Carplay--Techo--�E-S-P-E-C-T-A-C-U-L-A-R!,13.0,190.0,used,automatic,diesel,10000.0,49900,0,1
Volvo,Xc60,Xc60 D4 Awd Momentum Autom�tico,8.0,140.0,used,automatic,diesel,9000.0,49900,0,1
Mercedes-Benz,Cls350,Shooting Brake 350D Aut.,13.0,190.0,used,automatic,diesel,8200.0,49900,0,1
Bmw,530,Serie 5 G30 H�brido Enchufable Iperformance,9.0,185.0,used,automatic,hybrid,7000.0,49900,0,1
Bmw,X4,Xdrive20D,9.0,140.0,used,automatic,diesel,7000.0,49900,0,1
Land,RoverDiscovery,Sport 2.0Td4 Hse 4X4 Aut 180**7 Plazas**Seminuevo*,9.0,132.0,almost_new,automatic,diesel,7000.0,49900,0,1
Land,RoverRangeRoverEvoque,2.0Td4 Hse Dynamic 4X4 Aut. 180,11.0,132.0,used,automatic,diesel,7000.0,49900,0,1
Mercedes-Benz,E220,D 9G-Tronic 194,7.0,143.0,used,automatic,diesel,6752.0,49900,0,1
Bmw,X3,Xdrive20D,2.0,140.0,demo,automatic,diesel,5000.0,49900,0,1
Bmw,520,Serie 5 G30 Diesel Luxury,7.0,140.0,demo,automatic,diesel,3500.0,49900,0,1
Bmw,X4,Xdrive20D,9.0,140.0,used,automatic,diesel,3500.0,49900,0,1
Ford,Mustang,"Boss 302 En Stock, Vendido",58.0,324.0,used,manual,gasoline,2800.0,49900,0,1
Bmw,520,D Berlina,12.0,140.0,demo,automatic,diesel,1499.0,49900,0,1
Audi,A4Allroad,Quattro 2.0Tdi S-Tronic - Mmi - Led - Calef.Asient,2.0,120.0,used,automatic,diesel,500.0,49900,0,1
Bmw,520,D Berlina,2.0,140.0,demo,automatic,diesel,200.0,49900,0,1
Land,RoverRangeRoverEvoque,2.0Td4 Hse Dynamic 4X4 150,2.0,110.0,used,automatic,diesel,100.0,49900,0,1
Audi,A5,Sportback 2.0 Tdi Sport S Tronic 140 Kw,2.0,140.0,used,automatic,diesel,50.0,49900,0,1
Bmw,X4,Xdrive20D,4.0,140.0,used,automatic,diesel,50.0,49900,0,1
Audi,A6,Avant A6 Avant 2.0Tdi Ultra S Line E,2.0,140.0,used,automatic,diesel,25.0,49900,0,1
Audi,A5,3.0 Tdi S Line Quattro S Tronic 160 Kw (218 Cv),16.0,160.0,used,automatic,diesel,15.0,49900,0,1
Audi,A5,Coupe 2.0 Tdi S Line S Tronic 140 Kw,1.0,140.0,used,automatic,diesel,10.0,49900,0,1
Bmw,520,D Pvp Oferta Sujeto A Financiaci�n Con Bmw Bank.,2.0,139.0,km_0,automatic,diesel,5.0,49900,0,1
Land,RoverRangeRoverEvoque,2.0Td4 Se Dynamic 4X4 180 Manual,4.0,132.0,km_0,manual,diesel,1.0,49900,0,1
Volvo,Xc60,Xc60 D4 Awd Momentum Autom�tico,8.0,140.0,km_0,automatic,diesel,1.0,49900,0,1
Bmw,520,D Touring **Pvp Del Veh�culo Financiando Con Bmw B,1.0,139.0,km_0,automatic,diesel,82702.56524960538,49900,0,1
Audi,A8,3.0Tdi Cd Quattro Tiptronic 258Cv Full Equipe,49.0,190.0,used,automatic,diesel,91000.0,49800,0,1
Porsche,Cayenne,Diesel 245,79.0,180.0,used,automatic,diesel,63400.0,49800,0,1
Volkswagen,Touareg,3.0Tdi V6 Bmt 262 Cv,26.0,193.0,used,automatic,diesel,39424.0,49800,0,1
Volkswagen,Touareg,Touareg 3.0Tdi V6 Bmt R-Line 2,17.0,193.0,used,automatic,diesel,24862.0,49800,0,1
Mercedes-Benz,C220,D 9G-Tronic Cabrio,11.0,125.0,almost_new,automatic,diesel,11784.0,49800,0,1
Bmw,520,D Touring,11.0,140.0,demo,automatic,diesel,1000.0,49800,0,1
Volvo,Xc60,Xc60 D4 Awd Momentum Autom�tico,8.0,140.0,km_0,automatic,diesel,982.0,49800,0,1
Audi,Q5,Q5 2.0Tdi S Line Quattro-Ultra,14.0,140.0,used,automatic,diesel,90.0,49800,0,1
Audi,A5,Coupe A5 Coup� 3.0Tdi S Line Quattr,16.0,160.0,used,automatic,diesel,30.0,49800,0,1
Toyota,LandCruiser,D-4D Vxl Aut.,6.0,130.0,used,Unknown,diesel,11.0,49800,0,1
Mercedes-Benz,Ml350,Cdi 4 Matic,48.0,190.0,used,automatic,diesel,28173.0,49700,0,1
Bmw,X4,Xdrive20D,15.0,140.0,used,automatic,diesel,22619.0,49700,0,1
Bmw,X3,Xdrive20D,1.0,140.0,demo,automatic,diesel,100.0,49700,0,1
Jeep,GrandCherokee,3.0 Crd Overland 184 Kw (250 C,24.0,184.0,used,automatic,diesel,6500.0,49690,0,1
Bmw,X4,Xdrive 20D M-Sport Autom�tico 190Cv Mod F26 Eu6,9.0,140.0,used,automatic,diesel,21197.0,49675,0,1
Bmw,X4,Xdrive 20D Xline Autom�tico 190Cv Mod F26 Eu 6,2.0,140.0,used,automatic,diesel,9.0,49675,0,1
Audi,Q5,Q5 2.0Tdi S Line Quattro-Ultra,14.0,140.0,used,automatic,diesel,7000.0,49600,0,1
Audi,Q5,Q5 2.0Tdi S Line Quattro-Ultra,2.0,140.0,used,automatic,diesel,2000.0,49600,0,1
Bmw,520,Serie 5 G30 Diesel,8.0,140.0,km_0,automatic,diesel,10.0,49600,0,1
Bmw,520,Serie 5 G30 Diesel,4.0,140.0,used,automatic,diesel,9.0,49600,0,1
Bmw,X4,Xdrive20D M-Sport Autom�tico 190Cv Modelo F26 E6,11.0,140.0,used,automatic,diesel,6200.0,49575,0,1
Porsche,911,Carrera S Cabrio,146.0,261.0,used,automatic,gasoline,93000.0,49500,0,1
Mercedes-Benz,Ml350,Bluetec 4M Edition 1 7G Plus,70.0,190.0,used,automatic,diesel,90000.0,49500,0,1
Porsche,Panamera,Turbo Aut.,89.0,368.0,used,automatic,gasoline,82000.0,49500,0,1
Mercedes-Benz,Ml350,Bluetec 4M 7G Plus,27.0,190.0,used,automatic,diesel,77027.0,49500,0,1
Mercedes-Benz,E350,Bt 4M 7G Plus (9.75),34.0,185.0,used,automatic,diesel,75000.0,49500,0,1
Porsche,Cayenne,"Diesel *Panor�mico* Suspensi�n/21\""",62.0,180.0,used,automatic,diesel,63000.0,49500,0,1
Porsche,Cayenne,Diesel,72.0,180.0,used,automatic,diesel,56000.0,49500,0,1
Volkswagen,Transporter,2.0 Tdi Chasis Cs Largo Bmt Ds,36.0,103.0,used,automatic,diesel,16500.0,49500,0,1
Mercedes-Benz,E220,D 9G-Tronic (4.75) Cabrio,12.0,125.0,almost_new,automatic,diesel,14810.0,49500,0,1
Mercedes-Benz,C220,Coup� D 9G-Tronic,8.0,125.0,used,automatic,diesel,8500.0,49500,0,1
Audi,A5,Sportback A5 Sportback 2.0Tdi Sport S Tr,14.0,140.0,used,automatic,diesel,7900.0,49500,0,1
Toyota,LandCruiser,D-4D Vxl Aut.,3.0,130.0,used,Unknown,diesel,5400.0,49500,0,1
Bmw,X4,Xdrive20D,5.0,140.0,used,automatic,diesel,50.0,49500,0,1
Audi,A6,Avant A6 Avant 2.0Tdi Ultra S Line E,14.0,140.0,used,automatic,diesel,30.0,49500,0,1
Audi,A6,Avant 2.0Tdi Ultra S Line Ed. Q. S-T 190 S Line Ed,11.0,140.0,used,automatic,diesel,10.0,49500,0,1
Audi,A6,Avant 2.0Tdi Ultra Black Line Ed. Q. S-T 190 Black,11.0,140.0,used,automatic,diesel,10.0,49500,0,1
Audi,A6,Avant 2.0Tdi Ultra Black Line Ed. Q. S-T 190 Black,11.0,140.0,used,automatic,diesel,10.0,49500,0,1
Ford,Mustang,New 2018 Coming Soon!!!,2.0,0.0,new,automatic,gasoline,0.0,49500,0,1
Ford,Mustang,Nuevo Nuevo Mustang Fastback Gt 5.0 Ti-Vct V8 310,4.0,307.0,used,automatic,gasoline,82702.56524960538,49500,0,1
Mercedes-Benz,Cls350,Amg Nacional Techo Camara Perfecto Estado,35.0,190.0,used,automatic,diesel,60091.0,49490,0,1
Mercedes-Benz,E220,D Berlina,2.0,143.0,used,automatic,diesel,10.0,49490,0,1
Bentley,Continental,Gt - 79.000 Km - Impecable,162.0,411.0,used,automatic,gasoline,79000.0,49400,0,1
Audi,Q5,Q5 2.0Tdi S Line Quattro-Ultra,14.0,140.0,used,automatic,diesel,9700.0,49400,0,1
Land,RoverRangeRoverEvoque,2.0L Si4 Convertible 4X4 Se Dy,23.0,176.0,used,automatic,gasoline,6261.0,49350,0,1
Land,RoverRangeRoverSport,Sub,39.0,190.0,used,automatic,diesel,39936.0,49300,0,1
Mercedes-Benz,E220,D Berlina,12.0,143.0,almost_new,automatic,diesel,22350.0,49300,0,1
Bmw,X4,"Xdrive 20Dapaquete M, C�mara, Head-Up, Nav, Hifi",10.0,140.0,used,automatic,diesel,4001.0,49300,0,1
Mercedes-Benz,Vito,Tourer 114 Cdi Select Larga,63.09477469402563,100.0,almost_new,automatic,diesel,1.0,49300,0,1
Porsche,911,Carrera Cabrio,146.0,239.0,used,manual,gasoline,106700.0,49200,0,1
Bmw,640,Cabrio Xdrive / M-Sport Packet,37.0,230.0,used,automatic,diesel,92643.0,49200,0,1
Volkswagen,Touareg,Touareg 3.0Tdi V6 Bmt 262,16.0,193.0,used,automatic,diesel,11410.0,49200,0,1
Land,RoverRangeRoverEvoque,2.0Sd4 Se 4X4 Aut. 240,2.0,177.0,used,automatic,diesel,1.0,49065,0,1
Porsche,Panamera,Diesel 250 Con Garantia Porsche,58.0,184.0,used,automatic,diesel,79900.0,49001,0,1
Porsche,911,3.2 Carrera Coup�,374.0,169.0,used,manual,gasoline,195000.0,49000,0,1
Porsche,Panamera,Diesel Platinum Edition Aut.,51.0,184.0,used,automatic,diesel,110000.0,49000,0,1
Porsche,Panamera,4S Aut.,102.0,294.0,used,automatic,gasoline,105000.0,49000,0,1
Bentley,Continental,Gt Aut.,166.0,411.0,used,automatic,gasoline,97300.0,49000,0,1
Audi,A6,Avant 3.0Bitdi Competition Q.Tip. 320,33.0,240.0,used,automatic,diesel,95000.0,49000,0,1
Porsche,Cayenne,S,89.0,294.0,used,automatic,gasoline,90000.0,49000,0,1
Porsche,Cayenne,Diesel Aut.,81.0,176.0,used,automatic,diesel,70000.0,49000,0,1
Volvo,Xc90,2.0 D5 Awd Momentum Auto,27.0,165.0,used,automatic,diesel,49900.0,49000,0,1
Mercedes-Benz,C220,D Cabrio,12.0,125.0,almost_new,automatic,diesel,19693.0,49000,0,1
Mercedes-Benz,C220,D Cabrio,18.0,125.0,almost_new,automatic,diesel,10146.0,49000,0,1
Audi,Q5,2.0 Tdi Design Quattro-Ultra S,6.0,140.0,used,automatic,diesel,6000.0,49000,0,1
Bmw,520,D Berlina,7.0,140.0,used,automatic,diesel,5928.0,49000,0,1
Mercedes-Benz,E220,Estate D 9G-Tronic,6.0,143.0,demo,automatic,diesel,4983.0,49000,0,1
Bmw,520,D Touring,6.0,140.0,demo,automatic,diesel,4000.0,49000,0,1
Volvo,Xc60,Xc60 D4 Awd Momentum Autom�tico,5.0,140.0,used,automatic,diesel,3900.0,49000,0,1
Ford,Mustang,5.0 Ti-Vct V8 307Kw Mustang Gt A.(Conv.) Precio Fi,9.0,307.0,used,automatic,gasoline,2000.0,49000,0,1
Bmw,730,430Da Gran Coupe,11.0,192.0,used,automatic,diesel,1858.0,49000,0,1
Bmw,520,D Touring,11.0,140.0,demo,automatic,diesel,1000.0,49000,0,1
Porsche,Cayenne,Diesel Platinum Edition Aut.,50.0,180.0,used,automatic,diesel,78000.0,48995,0,1
Bmw,X5,X5 M50D* 380Cv *Head Up Display * Techo Panor�mico,51.0,279.0,used,automatic,diesel,109800.0,48990,0,1
Bmw,X5,X5 M50D* 380Cv *Head Up Display * Techo Panor�mico,51.0,279.0,used,automatic,diesel,109800.0,48990,0,1
Bmw,X5,X5 M50D* 380Cv *Head Up Display * Techo Panor�mico,51.0,279.0,used,automatic,diesel,109800.0,48990,0,1
Porsche,Panamera,3.0 D V6,72.0,184.0,used,automatic,diesel,79000.0,48990,0,1
Audi,A7,Sportback 3.0Bitdi S Line Q.Ed. Tip. S Line Editi,47.0,230.0,used,automatic,diesel,70000.0,48990,0,1
Bmw,640,D Gran Coupe Nacional-Unico Due�o-Iva Deducible,42.0,230.0,used,automatic,diesel,62000.0,48990,0,1
Porsche,911,997 Carrera S,159.0,261.0,used,manual,gasoline,61529.0,48990,0,1
Bmw,730,Serie 7 F01/F02 Diesel,47.0,190.0,used,automatic,diesel,30000.0,48990,0,1
Porsche,911,Carrera S Cabrio,146.0,0.0,used,automatic,gasoline,28000.0,48990,0,1
Bmw,520,520D,9.0,141.0,used,automatic,diesel,13142.0,48990,0,1
Bmw,520,520D,11.0,141.0,used,automatic,diesel,12700.0,48990,0,1
Audi,A5,Coupe 3.0 Tdi Clean 218Cv Quattro S Tron,17.0,99.72947681382615,used,automatic,diesel,11129.0,48990,0,1
Bmw,520,D Berlina,9.0,140.0,demo,automatic,diesel,8023.0,48990,0,1
Jeep,GrandCherokee,3.0 V6 Diesel Limited 184Kw 250Cv E6,10.0,99.72947681382615,used,manual,diesel,4236.0,48990,0,1
Bmw,520,520D,9.0,141.0,used,automatic,diesel,1900.0,48990,0,1
Land,RoverRangeRoverEvoque,Evoque 2.0Td4 Se Dynamic 4X4 Aut. 150,4.0,110.0,km_0,automatic,diesel,10.0,48990,0,1
Land,RoverRangeRoverEvoque,Evoque 2.0Td4 Se Dynamic 4X4 Aut. 150,4.0,110.0,km_0,automatic,diesel,10.0,48990,0,1
Bmw,520,D Berlina,2.0,140.0,used,automatic,diesel,15.0,48977,0,1
Bmw,X4,Xdrive 20Da,20.0,140.0,used,automatic,diesel,12000.0,48950,0,1
Bmw,420,D Cabrio,18.0,140.0,used,automatic,diesel,3685.0,48950,0,1
Porsche,Panamera,4S,93.0,294.0,used,automatic,gasoline,148200.0,48900,0,1
Porsche,Panamera,Diesel Aut.,67.0,184.0,used,automatic,diesel,139000.0,48900,0,1
Porsche,Panamera,Turbo,99.0,368.0,used,automatic,gasoline,107932.0,48900,0,1
Porsche,Cayenne,D,72.0,180.0,used,automatic,diesel,107000.0,48900,0,1
Porsche,911,Carrera 3.2 Europa Version,364.0,170.0,used,manual,gasoline,104000.0,48900,0,1
Bentley,Continental,Gt,154.0,411.0,used,automatic,gasoline,95000.0,48900,0,1
Bmw,640,"D Cabrio Pack M / Llanta 20"" / Impecable!!!!!",66.0,230.0,used,automatic,diesel,74100.0,48900,0,1
Porsche,Cayenne,Diesel,72.0,180.0,used,automatic,diesel,73000.0,48900,0,1
Porsche,Panamera,Diesel,75.0,184.0,used,automatic,diesel,70166.0,48900,0,1
Bmw,640,D Coupe,55.0,230.0,used,automatic,diesel,65951.0,48900,0,1
Porsche,Boxster,Pdk Nacional Full Garant�a,66.0,195.0,used,automatic,gasoline,49000.0,48900,0,1
Porsche,Boxster,Pdk,41.0,195.0,used,automatic,gasoline,29000.0,48900,0,1
Volvo,Xc90,Nuevo 2.0 D5 Awd Momentum Auto,27.0,165.0,used,automatic,diesel,28400.0,48900,0,1
Bmw,530,D Touring Xdrive - Pack M - Harman - Head-Up,15.0,190.0,used,automatic,diesel,22200.0,48900,0,1
Mercedes-Benz,E220,Amg+Panorama+Navi+Camara+Cuero+Led+Full,7.0,143.0,used,automatic,diesel,19900.0,48900,0,1
Bmw,520,Serie 5 F11 Touring Diesel Touring Luxury (0.00),9.0,140.0,used,automatic,diesel,15000.0,48900,0,1
Bmw,X4,Xdrive20D Msport,12.0,103.0,used,automatic,diesel,15000.0,48900,0,1
Mercedes-Benz,C220,D 9G-Tronic Cabrio,8.0,125.0,used,automatic,diesel,13653.0,48900,0,1
Bmw,X4,Xdrive20D,15.0,140.0,used,automatic,diesel,12685.0,48900,0,1
Bmw,520,520 D G30 M Performance,10.0,140.0,almost_new,automatic,diesel,12500.0,48900,0,1
Mercedes-Benz,C220,Cabrio D 9G-Tronic,11.0,125.0,used,automatic,diesel,7716.0,48900,0,1
Bmw,520,D Berlina,14.0,140.0,demo,automatic,diesel,7624.0,48900,0,1
Bmw,520,D Berlina,4.0,140.0,used,automatic,diesel,7000.0,48900,0,1
Mercedes-Benz,E220,Coup� D 9G-Tronic,7.0,143.0,used,automatic,diesel,6000.0,48900,0,1
Bmw,420,D Gran Coup�,5.0,140.0,demo,automatic,diesel,5600.0,48900,0,1
Bmw,420,D Gran Coup�,8.0,140.0,used,automatic,diesel,5500.0,48900,0,1
Mercedes-Benz,E220,D Coup� Amg Sportpaquet / Nav,2.0,143.0,used,automatic,diesel,5200.0,48900,0,1
Ford,Mustang,Convertible 5.0 Ti-Vct Gt Aut.,30.0,310.0,used,automatic,gasoline,5000.0,48900,0,1
Bmw,420,Da Cabrio - Head Up - Led Adapt. - Pack M - Memor.,8.0,140.0,used,automatic,diesel,4900.0,48900,0,1
Jaguar,Xf,3.0Tdv6 Portfolio Aut.,18.0,220.0,used,automatic,diesel,4851.0,48900,0,1
Bmw,520,D Pvp Oferta Sujeto A Financiaci�n Con Bmw Bank.,13.0,139.0,km_0,automatic,diesel,4227.0,48900,0,1
