make,model,version,gear_type,fuel_type,power,kms,registration,price,is_prediction,rep_id,price_base,status,damages,diagnostico_dmgs
670,1126,6137,1,2,136,22630,03/2025,23999,False,1,23999,tasado,,perfecto
285,536,2760,3,2,100,101231,04/2019,12999,False,1,12999,tasado,,perfecto
280,448,2140,1,2,70,85727,04/2017,10599,False,1,10599,tasado,,perfecto
905,1478,8107,1,2,150,118025,02/2018,20999,False,1,20999,tasado,,perfecto
860,1392,7570,1,3,220,25844,12/2020,33299,False,1,33299,tasado,,perfecto
905,1444,7906,3,2,110,49252,05/2015,12899,False,1,12899,tasado,,perfecto
550,850,4119,3,2,165,32757,06/2023,29299,False,1,29299,tasado,,perfecto
60,78,266,1,1,115,73186,02/2018,16999,False,1,16999,tasado,,perfecto
425,725,3571,1,3,239,2952,10/2025,35499,False,1,35499,tasado,,perfecto
194,350,1916,3,2,91,27962,12/2021,13599,False,1,13599,tasado,,perfecto
670,1138,6242,3,1,131,72459,01/2020,16899,False,1,16899,tasado,,perfecto
190,286,1620,1,2,181,6098,12/2022,24099,False,1,24099,tasado,,perfecto
345,615,3073,3,2,120,124707,04/2018,12499,False,1,12499,tasado,,perfecto
130,161,967,1,1,190,148472,07/2016,16999,False,1,16999,tasado,,perfecto
190,267,1465,3,1,102,101301,09/2019,15599,False,1,15599,tasado,,perfecto
550,850,4118,1,2,165,35158,05/2022,29599,False,1,29599,tasado,,perfecto
60,80,287,1,2,180,93807,03/2015,16399,False,1,16399,tasado,,perfecto
720,1206,6747,3,2,90,14475,03/2019,11499,False,1,11499,tasado,,perfecto
830,1329,7300,3,2,95,79854,06/2015,9399,False,1,9399,tasado,,perfecto
285,509,2509,3,2,140,95533,04/2019,11699,False,1,11699,tasado,,perfecto
790,1233,6869,3,2,115,63946,09/2017,13299,False,1,13299,tasado,,perfecto
425,708,3494,1,3,141,8333,11/2023,25499,False,1,25499,tasado,,perfecto
425,718,3536,3,2,85,29471,07/2020,13699,False,1,13699,tasado,,perfecto
345,604,3016,3,2,100,155804,01/2014,8899,False,1,8899,tasado,,perfecto
130,159,876,1,1,150,127136,10/2015,16299,False,1,16299,tasado,,perfecto
670,1126,6138,1,2,131,75242,06/2021,15999,False,1,15999,tasado,,perfecto
130,174,1103,1,1,150,101480,09/2019,21899,False,1,21899,tasado,,perfecto
860,1397,7593,1,3,101,132987,10/2019,13699,False,1,13699,tasado,,perfecto
280,479,2320,3,1,95,89497,12/2017,11899,False,1,11899,tasado,,perfecto
670,1127,6148,3,2,130,65309,11/2019,13999,False,1,13999,tasado,,perfecto
285,525,2677,3,2,125,14920,11/2023,19299,False,1,19299,tasado,,perfecto
790,1224,6818,1,1,177,68917,12/2020,30599,False,1,30599,tasado,,perfecto
720,1183,6547,3,2,140,46569,11/2018,15799,False,1,15799,tasado,,perfecto
720,1198,6680,1,3,200,45199,07/2024,35299,False,1,35299,tasado,,perfecto
390,679,3399,1,2,150,20299,05/2022,19499,False,1,19499,tasado,,perfecto
60,83,328,1,2,150,110070,06/2016,16999,False,1,16999,tasado,,perfecto
905,1444,7906,3,2,90,11948,03/2014,11899,False,1,11899,tasado,,perfecto
790,1240,6942,1,1,150,62389,04/2022,32899,False,1,32899,tasado,,perfecto
670,1106,5975,3,2,82,56734,03/2016,8099,False,1,8099,tasado,,perfecto
670,1106,5975,3,2,82,57606,04/2019,10099,False,1,10099,tasado,,perfecto
670,1106,5975,3,2,110,110356,10/2016,8099,False,1,8099,tasado,,perfecto
720,1174,6441,3,2,91,22372,03/2021,16999,False,1,16999,tasado,,perfecto
189,324,1797,1,2,150,46229,07/2022,26499,False,1,26499,tasado,,perfecto
860,1362,7442,1,3,184,69710,04/2021,25299,False,1,25299,tasado,,perfecto
425,727,3589,1,2,101,16460,04/2025,22399,False,1,22399,tasado,,perfecto
670,1111,6012,1,2,131,40764,01/2020,12999,False,1,12999,tasado,,perfecto
190,277,1548,3,2,82,136061,12/2016,7999,False,1,7999,tasado,,perfecto
487,776,3884,1,3,136,91417,01/2015,15699,False,1,15699,tasado,,perfecto
345,604,3015,3,2,120,114536,08/2022,15599,False,1,15599,tasado,,perfecto
670,1138,6242,3,1,131,82401,10/2018,17399,False,1,17399,tasado,,perfecto
189,324,1797,3,2,150,31495,04/2024,27799,False,1,27799,tasado,,perfecto
670,1126,6138,1,2,130,31906,12/2020,17799,False,1,17799,tasado,,perfecto
790,1243,6958,3,1,105,139111,05/2015,8999,False,1,8999,tasado,,perfecto
60,87,441,1,1,150,146757,01/2014,16999,False,1,16999,tasado,,perfecto
194,345,1879,3,1,116,44412,04/2022,17999,False,1,17999,tasado,,perfecto
860,1392,7570,1,3,222,69261,06/2019,30999,False,1,30999,tasado,,perfecto
345,601,2996,1,2,87,111221,05/2018,9799,False,1,9799,tasado,,perfecto
905,1444,7906,3,2,90,58784,09/2014,11699,False,1,11699,tasado,,perfecto
720,1183,6548,3,1,116,77425,06/2019,15999,False,1,15999,tasado,,perfecto
340,562,2871,3,1,120,158503,07/2016,13699,False,1,13699,tasado,,perfecto
425,727,3588,3,2,101,37672,07/2022,17299,False,1,17299,tasado,,perfecto
285,505,2483,3,2,125,35145,05/2022,15899,False,1,15899,tasado,,perfecto
425,711,3506,1,2,67,5386,05/2024,15899,False,1,15899,tasado,,perfecto
580,956,5150,3,1,110,112281,11/2015,12999,False,1,12999,tasado,,perfecto
670,1106,5981,3,1,100,93674,06/2017,10299,False,1,10299,tasado,,perfecto
225,1010,5407,3,2,80,52933,12/2014,8999,False,1,8999,tasado,,perfecto
190,277,1548,3,2,82,81877,02/2017,8499,False,1,8499,tasado,,perfecto
190,271,1496,3,2,82,39618,06/2019,9599,False,1,9599,tasado,,perfecto
130,159,887,1,1,190,149810,09/2016,18499,False,1,18499,tasado,,perfecto
40,43,151,3,1,120,64761,09/2017,12499,False,1,12499,tasado,,perfecto
194,350,1916,1,2,90,19739,05/2024,17499,False,1,17499,tasado,,perfecto
425,692,3436,3,2,135,142924,03/2018,10399,False,1,10399,tasado,,perfecto
670,1126,6138,3,2,101,53333,10/2020,14199,False,1,14199,tasado,,perfecto
670,1138,6241,3,2,110,128119,12/2018,13999,False,1,13999,tasado,,perfecto
390,675,3366,1,2,131,17076,07/2023,23699,False,1,23699,tasado,,perfecto
225,1010,5406,3,2,101,53572,05/2019,12199,False,1,12199,tasado,,perfecto
285,505,2484,3,1,90,84722,07/2015,9699,False,1,9699,tasado,,perfecto
790,1227,6834,3,2,116,82602,10/2019,15199,False,1,15199,tasado,,perfecto
730,764,3753,1,1,150,154028,01/2017,14999,False,1,14999,tasado,,perfecto
570,898,4641,1,1,170,126513,04/2015,20999,False,1,20999,tasado,,perfecto
670,1127,6159,1,1,180,66911,03/2020,21399,False,1,21399,tasado,,perfecto
285,505,2483,3,2,125,75604,09/2018,11699,False,1,11699,tasado,,perfecto
580,958,5166,1,2,136,43242,06/2022,22499,False,1,22499,tasado,,perfecto
910,1516,8474,1,2,163,10365,07/2023,31599,False,1,31599,tasado,,perfecto
800,1257,7024,1,1,150,113430,09/2020,20099,False,1,20099,tasado,,perfecto
425,727,3589,3,2,101,27023,12/2021,16899,False,1,16899,tasado,,perfecto
345,615,3073,3,2,120,120259,07/2019,12999,False,1,12999,tasado,,perfecto
425,718,3536,3,2,85,42355,04/2019,12299,False,1,12299,tasado,,perfecto
280,479,2315,3,2,70,103334,12/2018,7999,False,1,7999,tasado,,perfecto
130,175,1128,1,2,192,39734,05/2018,27999,False,1,27999,tasado,,perfecto
190,277,1551,3,1,100,55310,04/2018,11899,False,1,11899,tasado,,perfecto
570,881,4393,1,1,177,128733,06/2017,24199,False,1,24199,tasado,,perfecto
285,509,2509,3,2,100,48826,02/2017,10599,False,1,10599,tasado,,perfecto
910,1508,8346,3,1,120,113653,11/2016,13999,False,1,13999,tasado,,perfecto
800,1256,7019,3,2,150,13212,08/2023,21999,False,1,21999,tasado,,perfecto
650,1080,5789,1,2,152,88034,03/2017,14899,False,1,14899,tasado,,perfecto
860,1397,7592,3,2,125,46460,05/2021,16099,False,1,16099,tasado,,perfecto
910,1516,8474,1,2,163,24589,10/2023,32499,False,1,32499,tasado,,perfecto
345,626,3117,3,2,132,96303,08/2016,14399,False,1,14399,tasado,,perfecto
285,520,2630,3,2,160,82117,10/2017,13999,False,1,13999,tasado,,perfecto
130,176,1152,1,1,190,118546,12/2019,28199,False,1,28199,tasado,,perfecto
285,509,2509,1,2,100,102142,04/2016,10199,False,1,10199,tasado,,perfecto
720,1175,6456,3,2,101,63528,10/2020,13999,False,1,13999,tasado,,perfecto
670,1126,6138,3,2,110,64857,04/2017,9999,False,1,9999,tasado,,perfecto
730,765,3776,1,1,150,129433,02/2018,13799,False,1,13799,tasado,,perfecto
130,157,807,1,1,190,72433,03/2021,27099,False,1,27099,tasado,,perfecto
40,42,145,1,2,200,83071,10/2018,23799,False,1,23799,tasado,,perfecto
380,659,3272,3,1,180,88957,09/2016,15999,False,1,15999,tasado,,perfecto
425,718,3534,3,2,100,63199,11/2022,16099,False,1,16099,tasado,,perfecto
60,101,595,3,2,150,55854,06/2018,21699,False,1,21699,tasado,,perfecto
650,1065,5660,3,2,90,49321,11/2016,9599,False,1,9599,tasado,,perfecto
345,613,3066,3,1,115,85541,04/2015,12999,False,1,12999,tasado,,perfecto
650,1063,5648,3,1,102,109099,04/2020,15499,False,1,15499,tasado,,perfecto
590,969,5228,1,2,163,63136,04/2021,20499,False,1,20499,tasado,,perfecto
280,493,2409,3,2,95,59627,12/2019,10999,False,1,10999,tasado,,perfecto
790,1235,6903,3,2,110,47121,10/2017,14599,False,1,14599,tasado,,perfecto
190,275,1525,3,2,110,157711,04/2015,7299,False,1,7299,tasado,,perfecto
190,271,1496,1,2,110,94839,08/2022,12199,False,1,12199,tasado,,perfecto
720,1183,6548,1,1,115,55839,09/2021,18999,False,1,18999,tasado,,perfecto
860,1362,7441,1,3,122,106834,06/2021,21499,False,1,21499,tasado,,perfecto
425,725,3577,3,1,115,79521,06/2015,13899,False,1,13899,tasado,,perfecto
345,604,3016,3,2,100,115757,04/2016,9899,False,1,9899,tasado,,perfecto
425,694,3450,3,2,120,48267,06/2023,16999,False,1,16999,tasado,,perfecto
860,1355,7407,1,3,136,111984,08/2017,15199,False,1,15199,tasado,,perfecto
905,1440,7877,1,2,280,81079,06/2016,23599,False,1,23599,tasado,,perfecto
487,784,3913,1,3,197,145399,10/2019,26599,False,1,26599,tasado,,perfecto
130,178,1195,1,1,258,153507,11/2017,28999,False,1,28999,tasado,,perfecto
650,1066,5677,3,2,130,130792,07/2019,9499,False,1,9499,tasado,,perfecto
570,881,4393,1,1,190,40258,12/2021,33699,False,1,33699,tasado,,perfecto
670,1130,6180,1,1,180,96030,09/2018,20799,False,1,20799,tasado,,perfecto
860,1395,7580,3,2,132,62235,09/2016,14799,False,1,14799,tasado,,perfecto
285,509,2527,3,2,82,57258,09/2015,8899,False,1,8899,tasado,,perfecto
425,727,3588,3,2,101,56882,03/2019,13999,False,1,13999,tasado,,perfecto
345,626,3119,3,1,136,59659,11/2021,21999,False,1,21999,tasado,,perfecto
194,350,1912,3,2,90,51735,01/2014,7999,False,1,7999,tasado,,perfecto
60,78,272,1,2,200,48329,10/2019,23499,False,1,23499,tasado,,perfecto
235,417,2077,1,3,299,96084,07/2020,22799,False,1,22799,tasado,,perfecto
860,1398,7599,1,3,120,66226,06/2022,23299,False,1,23299,tasado,,perfecto
190,271,1496,3,2,82,16259,07/2023,13199,False,1,13199,tasado,,perfecto
590,984,5319,3,2,71,7578,01/2023,13999,False,1,13999,tasado,,perfecto
550,853,4130,3,2,186,24943,07/2023,26799,False,1,26799,tasado,,perfecto
790,1240,6942,1,1,200,88267,05/2021,31999,False,1,31999,tasado,,perfecto
194,345,1878,3,2,131,134237,02/2020,12999,False,1,12999,tasado,,perfecto
580,953,5129,1,2,135,45739,12/2022,24799,False,1,24799,tasado,,perfecto
190,271,1496,3,2,82,65510,05/2017,8199,False,1,8199,tasado,,perfecto
580,956,5150,1,1,150,87221,07/2018,18899,False,1,18899,tasado,,perfecto
580,954,5143,3,1,115,126404,11/2016,11999,False,1,11999,tasado,,perfecto
280,448,2139,3,2,69,28279,06/2023,12499,False,1,12499,tasado,,perfecto
194,343,1871,3,2,114,66162,07/2019,14499,False,1,14499,tasado,,perfecto
190,284,1608,1,3,224,66679,08/2021,18899,False,1,18899,tasado,,perfecto
280,448,2140,1,2,70,109088,05/2017,9399,False,1,9399,tasado,,perfecto
190,277,1551,3,1,100,72445,02/2018,11699,False,1,11699,tasado,,perfecto
345,601,2991,1,2,67,25473,09/2023,14999,False,1,14999,tasado,,perfecto
425,725,3574,1,3,215,19791,01/2025,35299,False,1,35299,tasado,,perfecto
235,417,2078,1,2,181,77765,02/2020,21099,False,1,21099,tasado,,perfecto
670,1127,6148,3,2,130,133864,07/2017,10499,False,1,10499,tasado,,perfecto
670,1127,6149,3,1,130,86230,04/2019,13699,False,1,13699,tasado,,perfecto
670,1126,6142,3,1,100,73631,06/2018,11499,False,1,11499,tasado,,perfecto
194,350,1916,3,2,91,8624,03/2023,13999,False,1,13999,tasado,,perfecto
285,509,2509,3,2,95,65559,02/2020,13299,False,1,13299,tasado,,perfecto
60,83,352,3,2,150,58785,01/2021,22799,False,1,22799,tasado,,perfecto
130,157,804,1,1,150,72287,12/2023,27999,False,1,27999,tasado,,perfecto
590,969,5230,1,3,188,39049,10/2022,20699,False,1,20699,tasado,,perfecto
790,1235,6903,3,2,110,148156,08/2018,11999,False,1,11999,tasado,,perfecto
830,1320,7273,3,2,83,27756,06/2024,16699,False,1,16699,tasado,,perfecto
670,1126,6140,1,1,131,94913,06/2020,15399,False,1,15399,tasado,,perfecto
340,574,2924,1,3,109,53871,10/2021,19499,False,1,19499,tasado,,perfecto
190,278,1562,1,1,150,124718,03/2014,12199,False,1,12199,tasado,,perfecto
670,1126,6138,1,2,110,120476,06/2019,10999,False,1,10999,tasado,,perfecto
225,1029,5477,1,1,130,108052,04/2014,12999,False,1,12999,tasado,,perfecto
487,784,3913,1,3,197,90284,06/2018,25999,False,1,25999,tasado,,perfecto
905,1425,7760,3,1,105,155759,07/2014,11499,False,1,11499,tasado,,perfecto
340,564,2893,1,3,184,138003,06/2019,22999,False,1,22999,tasado,,perfecto
194,350,1912,3,2,90,13112,04/2019,12699,False,1,12699,tasado,,perfecto
860,1362,7442,1,3,184,55995,11/2021,25599,False,1,25599,tasado,,perfecto
790,1233,6869,3,2,95,68296,06/2018,12899,False,1,12899,tasado,,perfecto
800,1257,7022,1,2,150,49253,04/2023,28499,False,1,28499,tasado,,perfecto
345,604,3016,3,2,100,135447,04/2014,8799,False,1,8799,tasado,,perfecto
345,613,3065,3,2,135,124588,07/2015,11999,False,1,11999,tasado,,perfecto
130,159,875,1,1,150,117428,02/2016,17799,False,1,17799,tasado,,perfecto
670,1111,6012,3,2,130,83110,08/2018,10199,False,1,10199,tasado,,perfecto
190,275,1531,3,1,100,85541,08/2018,10199,False,1,10199,tasado,,perfecto
280,454,2173,1,2,140,71265,07/2017,12299,False,1,12299,tasado,,perfecto
790,1233,6865,3,2,80,40968,11/2019,11799,False,1,11799,tasado,,perfecto
670,1130,6171,3,2,130,115948,11/2018,15599,False,1,15599,tasado,,perfecto
670,1106,5975,3,2,82,52368,04/2018,8399,False,1,8399,tasado,,perfecto
860,1392,7570,1,3,197,86850,01/2018,24099,False,1,24099,tasado,,perfecto
720,1175,6453,3,2,90,67802,03/2016,10399,False,1,10399,tasado,,perfecto
860,1398,7599,1,3,116,49022,09/2022,24299,False,1,24299,tasado,,perfecto
860,1366,7470,1,3,122,91414,10/2019,18499,False,1,18499,tasado,,perfecto
345,626,3117,3,2,132,103978,08/2016,13999,False,1,13999,tasado,,perfecto
60,109,671,1,1,272,147531,11/2015,29699,False,1,29699,tasado,,perfecto
580,956,5154,1,3,225,90343,06/2018,19599,False,1,19599,tasado,,perfecto
650,1066,5677,3,2,130,106187,02/2018,9999,False,1,9999,tasado,,perfecto
720,1172,6433,1,3,200,11348,12/2024,30999,False,1,30999,tasado,,perfecto
650,1073,5728,1,2,165,33574,05/2018,17199,False,1,17199,tasado,,perfecto
650,1096,5925,3,1,130,111910,01/2014,10599,False,1,10599,tasado,,perfecto
487,785,3919,1,3,223,138732,07/2018,27999,False,1,27999,tasado,,perfecto
190,272,1512,3,1,102,30869,05/2019,12299,False,1,12299,tasado,,perfecto
650,1065,5660,1,2,90,57283,06/2016,9999,False,1,9999,tasado,,perfecto
345,601,2991,3,2,67,37545,06/2022,12399,False,1,12399,tasado,,perfecto
670,1127,6149,3,1,130,128178,07/2019,13199,False,1,13199,tasado,,perfecto
225,1029,5472,3,2,140,22849,01/2024,23899,False,1,23899,tasado,,perfecto
670,1101,5942,3,2,72,109253,04/2019,8099,False,1,8099,tasado,,perfecto
345,604,3016,3,2,100,54764,06/2015,10799,False,1,10799,tasado,,perfecto
345,608,3044,1,3,141,122422,06/2021,15999,False,1,15999,tasado,,perfecto
190,280,1569,3,2,110,81666,06/2016,8999,False,1,8999,tasado,,perfecto
60,75,247,3,2,95,84866,09/2015,13499,False,1,13499,tasado,,perfecto
487,789,3937,1,3,184,37511,09/2023,29499,False,1,29499,tasado,,perfecto
345,626,3117,3,2,132,30939,05/2019,18299,False,1,18299,tasado,,perfecto
190,269,1484,3,2,72,15238,02/2022,10999,False,1,10999,tasado,,perfecto
670,1138,6242,1,1,131,46893,01/2019,22699,False,1,22699,tasado,,perfecto
425,718,3533,3,2,100,53440,06/2018,12299,False,1,12299,tasado,,perfecto
670,1127,6151,1,1,120,159348,04/2018,14299,False,1,14299,tasado,,perfecto
190,267,1465,3,1,131,77415,11/2018,17999,False,1,17999,tasado,,perfecto
560,1272,7114,1,2,90,72335,03/2017,12299,False,1,12299,tasado,,perfecto
868,932,5056,3,2,111,31184,07/2023,15699,False,1,15699,tasado,,perfecto
570,872,4239,1,3,218,28957,11/2022,29999,False,1,29999,tasado,,perfecto
345,621,3100,1,1,200,118067,12/2020,25899,False,1,25899,tasado,,perfecto
425,694,3458,3,1,135,100021,10/2016,11399,False,1,11399,tasado,,perfecto
910,1511,8389,1,1,150,125179,03/2018,17199,False,1,17199,tasado,,perfecto
670,1106,5975,3,2,82,103303,06/2017,7599,False,1,7599,tasado,,perfecto
670,1127,6149,1,1,131,58885,02/2022,21799,False,1,21799,tasado,,perfecto
720,1191,6633,3,1,110,66770,11/2016,13699,False,1,13699,tasado,,perfecto
345,604,3031,3,2,275,83678,07/2020,27299,False,1,27299,tasado,,perfecto
720,1204,6726,1,1,160,99458,12/2018,17099,False,1,17099,tasado,,perfecto
650,1069,5701,1,3,300,109710,01/2020,16499,False,1,16499,tasado,,perfecto
720,1183,6548,3,1,116,107831,03/2019,15499,False,1,15499,tasado,,perfecto
650,1065,5656,1,2,101,58642,05/2021,12899,False,1,12899,tasado,,perfecto
720,1191,6633,3,1,110,96323,07/2018,13299,False,1,13299,tasado,,perfecto
570,876,4289,1,1,135,105959,08/2016,17799,False,1,17799,tasado,,perfecto
570,900,4663,1,1,163,88709,02/2020,35999,False,1,35999,tasado,,perfecto
670,1106,5975,3,2,75,45962,07/2020,10499,False,1,10499,tasado,,perfecto
285,510,2529,1,2,125,76366,12/2019,15499,False,1,15499,tasado,,perfecto
130,159,875,1,1,150,95307,06/2019,21599,False,1,21599,tasado,,perfecto
425,729,3599,3,2,140,68135,06/2020,17799,False,1,17799,tasado,,perfecto
235,417,2077,1,3,224,114028,12/2020,19199,False,1,19199,tasado,,perfecto
790,1235,6924,1,1,150,126795,03/2017,16499,False,1,16499,tasado,,perfecto
800,1252,6998,3,2,95,34837,02/2021,14099,False,1,14099,tasado,,perfecto
650,1080,5795,1,1,135,90167,12/2018,14999,False,1,14999,tasado,,perfecto
720,1175,6461,1,2,120,30741,12/2015,12199,False,1,12199,tasado,,perfecto
830,1330,7309,3,2,110,104138,06/2018,12999,False,1,12999,tasado,,perfecto
790,1235,6914,3,2,131,43028,06/2022,19099,False,1,19099,tasado,,perfecto
650,1080,5790,3,2,140,69857,06/2017,11499,False,1,11499,tasado,,perfecto
345,602,3000,3,2,101,23449,07/2020,13999,False,1,13999,tasado,,perfecto
550,849,4116,1,2,121,91795,11/2018,16899,False,1,16899,tasado,,perfecto
225,1005,5387,3,2,95,93224,03/2016,9699,False,1,9699,tasado,,perfecto
190,278,1554,3,2,130,99670,03/2018,11499,False,1,11499,tasado,,perfecto
130,160,938,1,1,190,151883,04/2021,32199,False,1,32199,tasado,,perfecto
860,1397,7593,1,3,101,112057,10/2014,12799,False,1,12799,tasado,,perfecto
720,1191,6633,1,1,110,126628,12/2017,12999,False,1,12999,tasado,,perfecto
580,958,5170,3,2,178,45617,10/2021,21499,False,1,21499,tasado,,perfecto
580,958,5166,1,2,136,31562,01/2022,23299,False,1,23299,tasado,,perfecto
570,876,4287,1,2,163,67042,01/2019,22399,False,1,22399,tasado,,perfecto
860,1397,7592,3,2,125,16045,09/2024,19199,False,1,19199,tasado,,perfecto
285,510,2529,1,2,125,8034,05/2022,20999,False,1,20999,tasado,,perfecto
800,1258,7028,1,2,150,64109,10/2020,26999,False,1,26999,tasado,,perfecto
650,1065,5659,3,1,95,113982,03/2016,8299,False,1,8299,tasado,,perfecto
130,159,878,1,2,135,25453,05/2018,22699,False,1,22699,tasado,,perfecto
190,279,1564,3,2,131,125845,05/2019,11599,False,1,11599,tasado,,perfecto
580,958,5166,1,2,135,40440,06/2022,21499,False,1,21499,tasado,,perfecto
190,272,1510,3,2,110,61281,07/2021,12199,False,1,12199,tasado,,perfecto
190,284,1609,1,3,224,31582,05/2023,22999,False,1,22999,tasado,,perfecto
280,448,2140,3,2,70,93487,05/2018,9399,False,1,9399,tasado,,perfecto
487,789,3937,1,3,184,58040,08/2022,26699,False,1,26699,tasado,,perfecto
790,1229,6845,3,1,150,61516,05/2021,22299,False,1,22299,tasado,,perfecto
130,176,1148,1,1,150,116321,08/2014,18699,False,1,18699,tasado,,perfecto
190,271,1502,3,1,102,87544,06/2021,11899,False,1,11899,tasado,,perfecto
570,876,4283,1,1,110,51200,03/2018,17499,False,1,17499,tasado,,perfecto
570,872,4229,1,1,150,23351,05/2023,31499,False,1,31499,tasado,,perfecto
130,161,985,1,1,258,146552,03/2014,19499,False,1,19499,tasado,,perfecto
280,479,2313,3,2,70,65625,02/2022,9999,False,1,9999,tasado,,perfecto
425,723,3553,1,3,230,64486,07/2022,33299,False,1,33299,tasado,,perfecto
190,271,1496,3,2,82,46203,06/2016,7999,False,1,7999,tasado,,perfecto
905,1444,7919,3,1,95,125872,09/2020,14199,False,1,14199,tasado,,perfecto
130,175,1125,1,2,140,71992,08/2020,24199,False,1,24199,tasado,,perfecto
345,602,2999,1,2,101,20674,07/2023,18999,False,1,18999,tasado,,perfecto
345,602,3004,1,2,100,124210,05/2016,11199,False,1,11199,tasado,,perfecto
190,275,1525,1,2,131,51119,12/2021,16899,False,1,16899,tasado,,perfecto
860,1392,7571,1,3,306,92298,10/2021,35999,False,1,35999,tasado,,perfecto
225,1040,5516,3,2,131,28895,07/2022,22499,False,1,22499,tasado,,perfecto
670,1126,6138,3,2,82,79796,06/2019,9399,False,1,9399,tasado,,perfecto
670,1130,6172,1,1,131,78065,10/2019,20999,False,1,20999,tasado,,perfecto
650,1065,5660,3,2,90,29120,09/2019,11799,False,1,11799,tasado,,perfecto
130,174,1103,1,1,150,115768,09/2022,28199,False,1,28199,tasado,,perfecto
225,1005,5385,3,2,115,60368,03/2018,12899,False,1,12899,tasado,,perfecto
790,1233,6882,3,1,105,55559,04/2014,10299,False,1,10299,tasado,,perfecto
790,1235,6914,3,2,130,24534,11/2023,23299,False,1,23299,tasado,,perfecto
190,271,1496,3,2,110,77503,06/2017,9199,False,1,9199,tasado,,perfecto
670,1106,5979,3,1,100,132947,07/2020,11999,False,1,11999,tasado,,perfecto
280,479,2315,3,2,70,93246,12/2018,8699,False,1,8699,tasado,,perfecto
130,176,1152,1,1,190,101236,05/2019,28999,False,1,28999,tasado,,perfecto
720,1203,6720,1,3,143,8324,05/2025,27099,False,1,27099,tasado,,perfecto
905,1472,8069,3,2,110,27633,04/2024,21799,False,1,21799,tasado,,perfecto
670,1127,6148,3,2,130,122673,09/2015,7099,False,1,7099,tasado,,perfecto
720,1175,6453,3,2,90,43208,02/2019,11199,False,1,11199,tasado,,perfecto
650,1066,5677,3,2,110,68595,12/2020,11799,False,1,11799,tasado,,perfecto
650,1055,5587,3,1,110,40623,10/2014,8999,False,1,8999,tasado,,perfecto
860,1362,7441,1,3,122,131984,07/2017,18799,False,1,18799,tasado,,perfecto
650,1096,5917,3,2,140,121282,06/2016,10799,False,1,10799,tasado,,perfecto
790,1233,6869,3,2,110,70956,05/2021,14499,False,1,14499,tasado,,perfecto
790,1229,6845,3,1,150,58901,02/2022,23299,False,1,23299,tasado,,perfecto
235,417,2076,1,1,130,71122,11/2019,18999,False,1,18999,tasado,,perfecto
670,1111,6018,3,1,120,81587,03/2017,11499,False,1,11499,tasado,,perfecto
