id,id_modelo,nombre
180,51,4.4 BiTurbo
181,52,4.4 BiTurbo
182,53,4.4 BiTurbo
183,54,2.0 BiTurbo
184,54,3.0 BiTurbo
185,55,3.0 BiTurbo
186,56,3.0 BiTurbo
187,57,3.0 BiTurbo
188,57,3.0 Quadturbo
189,58,3.0 Quadturbo
190,59,1.8 TCe
191,60,180
192,60,220
193,61,4.0
194,61,5.3 V8
195,62,3.2 V6
196,62,5.9 V12
197,63,5.9 V12
198,64,4.7 V8
199,65,5.9 V12
200,66,5.9 V12
201,66,electric drive 448 kW
202,67,5.3 V8
203,68,4.3 V8
204,69,5.9 V12
205,70,1.1
206,70,1.3
207,71,1.3
208,71,1.6
209,71,1.6 Diesel
210,71,1.6 Turbodiesel
211,71,1.8
212,71,1.8 E
213,71,1.8 S
214,71,1.9
215,71,1.9 Diesel
216,71,1.9 E
217,71,1.9 TDI
218,71,1.9 Turbodiesel
219,71,2.0
220,71,2.3
221,71,2.6 V6
222,71,2.8 V6
223,72,1.6 Turbodiesel
224,72,2.0
225,72,2.2
226,72,2.3
227,72,2.3 20V
228,73,1.6
229,73,1.8
230,73,1.9
231,73,2.0
232,73,2.0 Diesel
233,73,2.0 Turbodiesel
234,73,2.2
235,73,2.2 Turbo
236,73,2.3
237,73,2.4 Diesel
238,73,2.5 TDI
239,73,2.5 Turbodiesel
240,73,2.6 V6
241,73,2.8 V6
242,73,4.2 S4 V8
243,73,S4
244,74,2.2
245,74,2.2 ECE
246,74,2.2 Turbo
247,75,1.0 TFSI
248,75,1.2 TFSI
249,75,1.4 TDI
250,75,1.4 TFSI
251,75,1.4 TFSI ACT
252,75,1.6 TDI
253,75,1.8 TFSI
254,75,2.0 TDI
255,76,25 TFSI
256,76,30 TFSI
257,76,35 TFSI
258,77,25 TFSI
259,77,30 TFSI
260,77,35 TFSI
261,78,1.0 TFSI
262,78,1.2 TFSI
263,78,1.4 TDI
264,78,1.4 TFSI
265,78,1.4 TFSI ACT
266,78,1.6 TDI
267,78,1.8 TFSI
268,78,2.0 TDI
269,78,25 TFSI
270,78,30 TFSI
271,78,35 TFSI
272,78,40 TFSI
273,79,1.2 TDI
274,79,1.4
275,79,1.4 TDI
276,79,1.6 FSI
277,80,1.0 TFSI
278,80,1.2 TFSI
279,80,1.4 TFSI
280,80,1.4 TFSI ACT
281,80,1.5 TFSI ACT
282,80,1.6
283,80,1.6 FSI
284,80,1.6 TDI
285,80,1.6 TDIe
286,80,1.8
287,80,1.8 TFSI
288,80,1.8 Turbo
289,80,1.9 TDI
290,80,1.9 TDIe
291,80,2.0 FSI
292,80,2.0 TDI
293,80,2.0 TFSI
294,80,3.2 V6
295,80,35 TFSI
296,80,40 TFSI
297,81,1.5 TFSI ACT
298,81,1.5 TFSI ACT Mild-Hybrid
299,81,1.5 TFSIe
300,81,2.0 TDI
301,81,2.0 TFSI
302,81,35 TDI
303,81,35 TFSI
304,81,35 TFSI Mild-Hybrid
305,81,40 TFSI
306,81,40 TFSIe
307,82,1.0 TFSI
308,82,1.4 TFSI
309,82,1.4 TFSI ACT
310,82,1.5 TFSI ACT
311,82,1.5 TFSI ACT Mild-Hybrid
312,82,1.5 TFSI Mild-Hybrid
313,82,1.6 TDI
314,82,1.8 TFSI
315,82,2.0 TDI
316,82,2.0 TFSI
317,82,30 TDI
318,82,30 TFSI
319,82,30 TFSI Mild-Hybrid
320,82,35 TDI
321,82,35 TFSI
322,82,35 TFSI Mild-Hybrid
323,82,40 TDI
324,82,40 TFSI
325,83,1.0 TFSI
326,83,1.2 TFSI
327,83,1.4 TFSI
328,83,1.4 TFSI ACT
329,83,1.4 TFSI e-tron
330,83,1.4 TGI
331,83,1.4 TGI g-Tron
332,83,1.5 TFSI ACT
333,83,1.5 TFSI ACT Mild-Hybrid
334,83,1.5 TFSI Mild-Hybrid
335,83,1.5 TFSIe
336,83,1.6
337,83,1.6 FSI
338,83,1.6 TDI
339,83,1.6 TDIe
340,83,1.8 TFSI
341,83,1.9 TDI
342,83,1.9 TDIe
343,83,2.0 FSI
344,83,2.0 TDI
345,83,2.0 TFSI
346,83,3.2 V6
347,83,30 g-tron
348,83,30 TDI
349,83,30 TFSI
350,83,30 TFSI Mild-Hybrid
351,83,35 TDI
352,83,35 TFSI
353,83,35 TFSI Mild-Hybrid
354,83,40 e-tron
355,83,40 TDI
356,83,40 TFSI
357,83,40 TFSIe
358,83,45 TFSIe
359,84,1.4 TFSI ACT
360,84,1.6
361,84,1.8
362,84,1.8 T
363,84,1.8 TFSI
364,84,1.8 Turbo
365,84,1.9 TDI
366,84,1.9 TDIe
367,84,2.0
368,84,2.0 FSI
369,84,2.0 TDI
370,84,2.0 TDI clean diesel
371,84,2.0 TDIe
372,84,2.0 TFSI
373,84,2.0 TFSI E85
374,84,2.0 TFSI g-tron
375,84,2.0 TFSIe
376,84,2.4 V6
377,84,2.5 V6 TDI
378,84,2.6 V6
379,84,2.7 V6 TDI
380,84,2.8 V6
381,84,3.0 V6
382,84,3.0 V6 TDI
383,84,3.0 V6 TDI clean diesel
384,84,3.0 V6 TFSI
385,84,3.2 V6 FSI
386,84,30 TDI
387,84,30 TDI Mild-Hybrid
388,84,35 TDI
389,84,35 TDI Mild-Hybrid
390,84,35 TFSI
391,84,35 TFSI Mild-Hybrid
392,84,40 g-tron
393,84,40 TDI
394,84,40 TDI Mild-Hybrid
395,84,40 TFSI
396,84,40 TFSI Mild-Hybrid
397,84,45 TDI
398,84,45 TFSI
399,84,45 TFSI Mild-Hybrid
400,84,50 TDI
401,84,50 TDI Mild-Hybrid
402,85,2.0 TDI
403,85,2.0 TDI clean diesel
404,85,2.0 TFSI
405,85,3.0 V6 TDI
406,85,3.0 V6 TDI clean diesel
407,85,40 TDI
408,85,40 TDI Mild-Hybrid
409,85,45 TDI
410,85,45 TFSI
411,85,45 TFSI Mild-Hybrid
412,85,50 TDI
413,85,50 TDI Mild-Hybrid
414,86,1.8 TFSI
415,86,2.0 TDI
416,86,2.0 TDI clean diesel
417,86,2.0 TDI Mild-Hybrid
418,86,2.0 TFSI
419,86,2.0 TFSI e-hybrid
420,86,2.7 V6 TDI
421,86,3.0 V6 TDI
422,86,3.0 V6 TDI clean diesel
423,86,3.0 V6 TFSI
424,86,3.2 V6 FSI
425,86,35 TDI
426,86,35 TDI Mild-Hybrid
427,86,35 TFSI
428,86,35 TFSI Mild-Hybrid
429,86,40 TDI
430,86,40 TDI Mild-Hybrid
431,86,40 TFSI
432,86,40 TFSI Mild-Hybrid
433,86,45 TDI
434,86,45 TFSI
435,86,45 TFSI Mild-Hybrid
436,86,50 TDI
437,86,50 TDI Mild-Hybrid
438,86,TFSI 110 kW
439,86,TFSI 150 kW
440,87,1.8 TFSI
441,87,2.0 TDI
442,87,2.0 TDI clean diesel
443,87,2.0 TFSI
444,87,2.0 TFSI g-tron
445,87,2.7 V6 TDI
446,87,3.0 V6 TDI
447,87,3.0 V6 TDI clean diesel
448,87,3.0 V6 TFSI
449,87,3.2 V6 FSI
450,87,35 TDI
451,87,35 TDI Mild-Hybrid
452,87,35 TFSI
453,87,35 TFSI Mild-Hybrid
454,87,40 g-tron
455,87,40 TDI
456,87,40 TDI Mild-Hybrid
457,87,40 TFSI
458,87,40 TFSI Mild-Hybrid
459,87,45 TDI
460,87,45 TFSI
461,87,45 TFSI Mild-Hybrid
462,87,50 TDI
463,87,50 TDI Mild-Hybrid
464,88,1.8
465,88,1.8 TFSI
466,88,1.8 Turbo
467,88,1.9 TDI
468,88,2.0
469,88,2.0 TDI
470,88,2.0 TDI Mild-Hybrid
471,88,2.0 TDIe
472,88,2.0 TFSI
473,88,2.0 TFSI e-hybrid
474,88,2.0 TFSI Hybrid
475,88,2.4 V6
476,88,2.5 TDI
477,88,2.5 V6 TDI
478,88,2.6 V6
479,88,2.7 T V6
480,88,2.7 V6 TDI
481,88,2.8 V6
482,88,2.8 V6 FSI
483,88,3.0 TDI Mild-Hybrid
484,88,3.0 TFSI Mild-Hybrid
485,88,3.0 V6
486,88,3.0 V6 TDI
487,88,3.0 V6 TDI clean diesel
488,88,3.0 V6 TFSI
489,88,3.2 V6 FSI
490,88,4.2 V8
491,88,4.2 V8 FSI
492,88,35 TDI Mild-Hybrid
493,88,40 TDI Mild-Hybrid
494,88,45 TDI Mild-Hybrid
495,88,45 TFSI Mild-Hybrid
496,88,50 TDI Mild-Hybrid
497,88,50 TFSIe
498,88,55 TFSI Mild-Hybrid
499,88,55 TFSIe
500,89,2.7 V6 TDI
501,89,3.0 V6 TDI
502,89,3.0 V6 TDI Biturbo
503,89,3.0 V6 TDI clean diesel
504,89,3.0 V6 TFSI
505,89,3.2 V6 FSI
506,89,4.2 V8 FSI
507,89,40 TDI Mild-Hybrid
508,89,45 TDI Mild-Hybrid
509,89,50 TDI Mild-Hybrid
510,89,55 TDI Mild-Hybrid
511,89,55 TFSI Mild-Hybrid
512,90,e-tron
513,90,e-tron Performance
514,90,e-tron quattro
515,91,e-tron
516,91,e-tron Performance
517,91,e-tron quattro
518,92,2.0 TFSI
519,92,2.8 V6 FSI
520,92,3.0 TFSI Mild-Hybrid
521,92,3.0 V6 TDI
522,92,3.0 V6 TDI clean diesel
523,92,3.0 V6 TFSI
524,92,40 TDI Mild-Hybrid
525,92,45 TDI Mild-Hybrid
526,92,45 TFSI Mild-Hybrid
527,92,50 TDI Mild-Hybrid
528,92,50 TFSIe
529,92,55 TFSIe
530,93,2.0 TFSI Hybrid
531,93,2.5 V6 TDI
532,93,2.8 V6
533,93,2.8 V6 FSIe
534,93,3.0 TDI Mild-Hybrid
535,93,3.0 TFSI Mild-Hybrid
536,93,3.0 V6
537,93,3.0 V6 TDI
538,93,3.0 V6 TDI clean diesel
539,93,3.0 V6 TFSI
540,93,3.2 V6 FSI
541,93,3.3 V8 TDI
542,93,3.7 V8
543,93,4.0 V8 TDI
544,93,4.0 V8 TFSI
545,93,4.2 V8
546,93,4.2 V8 FSI
547,93,4.2 V8 TDI
548,93,4.2 V8 TDI clean diesel
549,93,6.0 W12
550,93,6.3 W12 FSI
551,93,50 TDI Mild-Hybrid
552,93,55 TFSI Mild-Hybrid
553,93,60 TDI Mild-Hybrid
554,93,60 TFSI Mild-Hybrid
555,93,60 TFSIe
556,94,2.5 V6 TDI
557,94,2.7 T V6
558,94,4.2 V8
559,95,1.8
560,95,1.9 TDI
561,95,2.0
562,95,2.3
563,95,2.6 V6
564,95,2.8 V6
565,96,1.6
566,96,1.8
567,96,1.9
568,96,2.0
569,96,2.2
570,96,2.3
571,96,2.3 20V
572,96,2.6 V6
573,96,2.8 V6
574,96,S2
575,97,50
576,97,55
577,97,S
578,98,e-tron
579,98,e-tron RS
580,98,e-tron S
581,99,50
582,99,55
583,99,e-tron S
584,100,1.0 TFSI
585,100,1.4 TFSI ACT
586,100,1.6 TDI
587,100,2.0 TDI
588,100,2.0 TFSI
589,100,30 TDI
590,100,30 TFSI
591,100,35 TDI
592,100,35 TFSI
593,100,40 TFSI
594,101,1.4 TFSI
595,101,1.4 TFSI ACT
596,101,1.5 e-hybrid
597,101,1.5 TFSI ACT Mild-Hybrid
598,101,2.0 TDI
599,101,2.0 TFSI
600,101,35 TDI
601,101,35 TFSI
602,101,35 TFSI Mild-Hybrid
603,101,40 TDI
604,101,40 TFSI
605,101,45 TFSI
606,101,45 TFSIe
607,102,1.5 e-hybrid
608,102,1.5 TFSI ACT Mild-Hybrid
609,102,2.0 TDI
610,102,2.0 TFSI
611,102,35 TDI
612,102,35 TFSI
613,102,35 TFSI Mild-Hybrid
614,102,40 TDI
615,102,40 TFSI
616,102,45 TFSI
617,102,45 TFSIe
618,103,35 e-tron
619,103,40 e-tron
620,103,45 e-tron
621,103,50 e-tron
622,103,55 e-tron
623,104,35 e-tron
624,104,40 e-tron
625,104,45 e-tron
626,104,50 e-tron
627,104,55 e-tron
628,105,2.0 TDI
629,105,2.0 TDI clean diesel
630,105,2.0 TDI Mild-Hybrid
631,105,2.0 TFSI
632,105,2.0 TFSI e-hybrid
633,105,2.0 TFSI Hybrid
634,105,2.0 TFSI Mild-Hybrid
635,105,3.0 V6 TDI
636,105,3.0 V6 TFSI
637,105,3.2 V6 FSI
638,105,35 TDI
639,105,35 TDI Mild-Hybrid
640,105,40 TDI
641,105,40 TDI Mild-Hybrid
642,105,40 TFSI Mild-Hybrid
643,105,45 TDI
644,105,45 TFSI
645,105,45 TFSI Mild-Hybrid
646,105,50 TDI
647,105,50 TDI Mild-Hybrid
648,105,50 TFSIe
649,105,55 TFSIe
650,106,2.0 TDI Mild-Hybrid
651,106,2.0 TFSI e-hybrid
652,106,2.0 TFSI Mild-Hybrid
653,106,35 TDI Mild-Hybrid
654,106,40 TDI Mild-Hybrid
655,106,40 TFSI Mild-Hybrid
656,106,45 TFSI Mild-Hybrid
657,106,50 TDI Mild-Hybrid
658,106,50 TFSIe
659,106,55 TFSIe
660,107,55 e-tron
661,107,225 kW e-tron
662,107,e-tron
663,107,e-tron Performance
664,107,electric drive 185 kW
665,108,e-tron
666,108,e-tron Performance
667,109,3.0 TDI e-tron
668,109,3.0 TDI Mild-Hybrid
669,109,3.0 TFSI Mild-Hybrid
670,109,3.0 TFSIe
671,109,3.0 V6 TDI
672,109,3.0 V6 TDI clean diesel
673,109,3.0 V6 TFSI
674,109,3.6 VR6 FSI
675,109,4.2 V8 FSI
676,109,4.2 V8 TDI
677,109,6.0 V12 TDI
678,109,45 TDI
679,109,45 TDI Mild-Hybrid
680,109,50 TDI
681,109,50 TDI Mild-Hybrid
682,109,55 TFSI
683,109,55 TFSI Mild-Hybrid
684,109,55 TFSIe
685,109,60 TFSIe
686,110,3.0 TDI Mild-Hybrid
687,110,3.0 TFSI Mild-Hybrid
688,110,3.0 TFSIe
689,110,45 TDI
690,110,45 TDI Mild-Hybrid
691,110,50 e-tron
692,110,50 TDI Mild-Hybrid
693,110,55 e-tron
694,110,55 TFSI
695,110,55 TFSI Mild-Hybrid
696,110,55 TFSIe
697,110,60 TFSIe
698,111,50 e-tron
699,111,55 e-tron
700,112,2.2
701,112,2.2 Turbo
702,113,4.2 V8 FSI
703,113,5.2 V10 FSI
704,114,2.2 Turbo
705,115,2.5 TFSI
706,116,2.5 TFSI
707,117,2.7 V6
708,117,2.9 TFSI
709,117,2.9 V6 TFSI
710,117,4.2 V8 FSI
711,118,2.9 TFSI
712,118,2.9 V6 TFSI
713,118,4.2 V8 FSI
714,119,2.9 TFSI
715,120,4.0 TFSI Mild-Hybrid
716,120,4.0 V8 TFSI
717,120,4.2 V8
718,120,5.0 V10 FSI
719,121,4.0 TFSI Mild-Hybrid
720,121,4.0 V8 TFSI
721,122,2.5 TFSI
722,123,2.5 TFSI
723,124,4.0 TFSI Mild-Hybrid
724,125,2.0 TFSI
725,126,2.0 TFSI
726,127,2.2 Turbo
727,128,1.8 Turbo
728,128,2.0 TFSI
729,129,2.0 TFSI
730,130,2.7 V6
731,130,3.0 TDI
732,130,3.0 TDI Mild-Hybrid
733,130,3.0 V6 TFSI
734,130,4.2 V8
735,131,3.0 TDI
736,131,3.0 TDI Mild-Hybrid
737,131,3.0 TFSI
738,131,3.0 TFSI Mild-Hybrid
739,131,3.0 V6 TFSI
740,131,4.2 V8 FSI
741,132,3.0 TDI
742,132,3.0 TDI Mild-Hybrid
743,132,3.0 V6 TFSI
744,133,2.2 Turbo
745,133,3.0 TDI Mild-Hybrid
746,133,4.0 V8 TFSI
747,133,4.2 V8
748,133,5.2 V10 FSI
749,134,electric drive 370 kW
750,135,electric drive 370 kW
751,136,3.0 TDI Mild-Hybrid
752,136,4.0 V8 TFSI
753,137,4.0 TFSI Mild-Hybrid
754,137,4.0 V8 TFSI
755,137,4.2 V8
756,137,5.2 V10 FSI
757,138,2.0 TFSI
758,139,3.0 TDI
759,139,3.0 TDI Mild-Hybrid
760,139,3.0 TFSI Mild-Hybrid
761,139,3.0 V6 TDI
762,139,3.0 V6 TFSI
763,140,3.0 TDI Mild-Hybrid
764,140,3.0 TFSI Mild-Hybrid
765,141,e-tron
766,142,4.0 TDI
767,142,4.0 TFSI
768,142,4.0 V8 TDI
769,142,4.0 V8 TDI clean diesel
770,143,4.0 TDI
771,143,4.0 TFSI
772,143,e-tron
773,144,e-tron
774,145,1.8 TFSI
775,145,1.8 Turbo
776,145,2.0 TDI
777,145,2.0 TFSI
778,145,3.2 V6
779,145,40 TFSI
780,145,45 TFSI
781,146,2.5 TFSI
782,147,2.0 TFSI
783,148,3.6 V8
784,148,4.2 V8
785,149,1.3
786,150,1.0
787,151,Confort
788,151,Italia
789,151,Prestige
790,151,Sport
791,152,6.8 V8 Biturbo
792,152,6.8 V8 Turbo
793,153,6.8 V8
794,153,6.8 V8 Biturbo
795,153,6.8 V8 Turbo
796,154,6.0 W12 Biturbo
797,155,6.0 W12 Biturbo
798,156,6.0 W12 Biturbo
799,157,114d
800,157,114i
801,157,116
802,157,116d
803,157,116i
804,157,118d
805,157,118i
806,157,120 Mild-Hybrid
807,157,120d
808,157,120d Mild-Hybrid
809,157,120i
810,157,123 Mild-Hybrid
811,157,123d
812,157,125d
813,157,125i
814,157,128ti
815,157,130i
816,157,135i
817,157,M
818,157,M135
819,157,M135i
820,157,M140i
821,158,214d Active Tourer
822,158,214d Gran Tourer
823,158,216 Gran Coupe
824,158,216d
825,158,216d Active Tourer
826,158,216d Gran Coupe
827,158,216d Gran Tourer
828,158,216i Active Tourer
829,158,216i Gran Tourer
830,158,218d
831,158,218d Active Tourer
832,158,218d Gran Coupe
833,158,218d Gran Tourer
834,158,218i
835,158,218i Active Tourer
836,158,218i Gran Coupe
837,158,218i Gran Tourer
838,158,220 Gran Coupe Mild-Hybrid
839,158,220d
840,158,220d Active Tourer
841,158,220d Active Tourer Mild-Hybrid
842,158,220d Gran Coupe
843,158,220d Gran Coupe Mild-Hybrid
844,158,220d Gran Tourer
845,158,220d Mild-Hybrid
846,158,220i
847,158,220i Active Tourer
848,158,220i Active Tourer Mild-Hybrid
849,158,220i Gran Coupe
850,158,220i Gran Tourer
851,158,223 Gran Coupe Mild-Hybrid
852,158,223d Active Tourer Mild-Hybrid
853,158,223i Active Tourer Mild-Hybrid
854,158,225d
855,158,225e Active Tourer
856,158,225i Active Tourer
857,158,225xe Active Tourer
858,158,228i
859,158,230e Active Tourer
860,158,230i
861,158,M2
862,158,M235 Gran Coupe
863,158,M235i
864,158,M235i Gran Coupe
865,158,M240i
866,158,M240i Mild-Hybrid
867,159,315
868,159,316
869,159,316d
870,159,316g
871,159,316i
872,159,316ti
873,159,318
874,159,318Ci
875,159,318d
876,159,318d GT
877,159,318d Mild-Hybrid
878,159,318i
879,159,318is
880,159,318td
881,159,318tds
882,159,318ti
883,159,320
884,159,320Cd
885,159,320Ci
886,159,320d
887,159,320d GT
888,159,320d Mild-Hybrid
889,159,320e
890,159,320i
891,159,320i GT
892,159,320si
893,159,320td
894,159,323Ci
895,159,323i
896,159,323ti
897,159,324d
898,159,324td
899,159,325Ci
900,159,325d
901,159,325d GT
902,159,325e
903,159,325i
904,159,325ix
905,159,325td
906,159,325tds
907,159,325ti
908,159,325xi
909,159,328Ci
910,159,328i
911,159,328i GT
912,159,330Cd
913,159,330Ci
914,159,330d
915,159,330d GT
916,159,330d Mild-Hybrid
917,159,330e
918,159,330i
919,159,330i GT
920,159,330xd
921,159,330xi
922,159,335d
923,159,335d GT
924,159,335i
925,159,335i GT
926,159,340i
927,159,340i GT
928,159,ActiveHybrid
929,159,M3
930,159,M340d Mild-Hybrid
931,159,M340i
932,159,M340i Mild-Hybrid
933,160,418d
934,160,418d Gran Coupé
935,160,420d
936,160,420d Gran Coupe Mild-Hybrid
937,160,420d Gran Coupé
938,160,420d Mild-Hybrid
939,160,420i
940,160,420i Gran Coupe
941,160,420i Gran Coupé
942,160,425d
943,160,425d Gran Coupé
944,160,428i
945,160,428i Gran Coupé
946,160,430d
947,160,430d Gran Coupe Mild-Hybrid
948,160,430d Gran Coupé
949,160,430d Mild-Hybrid
950,160,430i
951,160,430i Gran Coupé
952,160,435d
953,160,435d Gran Coupé
954,160,435i
955,160,435i Gran Coupé
956,160,440i
957,160,440i Gran Coupé
958,160,M4
959,160,M440d Mild-Hybrid
960,160,M440i Gran Coupe Mild-Hybrid
961,160,M440i Mild-Hybrid
962,161,518
963,161,518d
964,161,518g
965,161,518i
966,161,520
967,161,520d
968,161,520d GT
969,161,520d Mild-Hybrid
970,161,520e
971,161,520i
972,161,520i Mild-Hybrid
973,161,523i
974,161,524d
975,161,524td
976,161,525
977,161,525d
978,161,525e
979,161,525i
980,161,525ix
981,161,525td
982,161,525tds
983,161,528
984,161,528i
985,161,530d
986,161,530d GT
987,161,530d Mild-Hybrid
988,161,530e
989,161,530i
990,161,530i Mild-Hybrid
991,161,535d
992,161,535d GT
993,161,535i
994,161,535i GT
995,161,540d
996,161,540d Mild-Hybrid
997,161,540i
998,161,540i Mild-Hybrid
999,161,545e
1000,161,545i
1001,161,550e
1002,161,550i
1003,161,550i GT
1004,161,ActiveHybrid5
1005,161,M5
1006,161,M535i
1007,161,M550d
1008,161,M550i
1009,162,620d GT
1010,162,620d GT Mild-Hybrid
1011,162,628 CSi
1012,162,630d GT
1013,162,630d GT Mild-Hybrid
1014,162,630i
1015,162,630i GT
1016,162,630i GT Mild-Hybrid
1017,162,633 CSi
1018,162,635 CSi
1019,162,635d
1020,162,640d
1021,162,640d Gran Coupé
1022,162,640d GT
1023,162,640d GT Mild-Hybrid
1024,162,640i
1025,162,640i Gran Coupé
1026,162,640i GT
1027,162,640i GT Mild-Hybrid
1028,162,645 CI
1029,162,650 CI
1030,162,650i
1031,162,650i Gran Coupé
1032,162,M6
1033,162,M6 Gran Coupe
1034,162,M635 CSi
1035,163,725tds
1036,163,728
1037,163,728i
1038,163,730
1039,163,730d
1040,163,730d Mild-Hybrid
1041,163,730i
1042,163,732i
1043,163,733i
1044,163,735i
1045,163,740d
1046,163,740d Mild-Hybrid
1047,163,740e
1048,163,740i
1049,163,745d
1050,163,745e
1051,163,745i
1052,163,750d
1053,163,750e
1054,163,750i
1055,163,760i
1056,163,ActiveHybrid7
1057,163,M760e
1058,163,M760Li
1059,164,840 Ci
1060,164,840d
1061,164,840d Gran Coupe
1062,164,840d Gran Coupe Mild-Hybrid
1063,164,840d Mild-Hybrid
1064,164,840i
1065,164,840i Gran Coupe
1066,164,840i Gran Coupe Mild-Hybrid
1067,164,850 Ci
1068,164,850 CSi
1069,164,850 i
1070,164,M8
1071,164,M8 Gran Coupe
1072,164,M850i
1073,164,M850i Gran Coupe
1074,165,i3
1075,165,i3s
1076,166,eDrive35 Gran Coupe
1077,166,eDrive40 Gran Coupe
1078,166,M50 Gran Coupe
1079,166,M60 Gran Coupe
1080,166,xDrive40 Gran Coupe
1081,167,eDrive40
1082,167,M60
1083,167,xDrive40
1084,168,60
1085,168,eDrive50
1086,168,xDrive60
1087,168,xDrive M70
1088,169,i8
1089,170,iX 40
1090,170,iX 45
1091,170,iX 50
1092,170,iX 60
1093,170,M60
1094,170,M70
1095,171,eDrive 20
1096,171,xDrive 30
1097,172,eDrive20
1098,172,xDrive30
1099,173,electric drive 210 kW
1100,173,xDrive 50
1101,174,M35i
1102,174,sDrive 16d
1103,174,sDrive 18d
1104,174,sDrive 18i
1105,174,sDrive 20d
1106,174,sDrive 20d Mild-Hybrid
1107,174,sDrive 20i
1108,174,sDrive 20i Mild-Hybrid
1109,174,sDrive M Sport Mild-Hybrid
1110,174,sDrive xLine Mild-Hybrid
1111,174,xDrive 18d
1112,174,xDrive 20d
1113,174,xDrive 20d Mild-Hybrid
1114,174,xDrive 20i
1115,174,xDrive 23d
1116,174,xDrive 23d Mild-Hybrid
